%*****************************
%          -----------------------
%********* PECs Fe XV .threshold 1.e4
%          -----------------------
1)Emissivity for levels 2<-11 (s1p10100<-s1d10102) Wavelength 224.7540 (A)
  n_e	                      T_e  (eV) 
3.0e14	     1.17e+06  1.20e+06  1.16e+06  1.11e+06  1.06e+06  9.92e+05	9.13e+05  8.45e+05
%*****************************
%*********PECsfeXVIII.
1)Emissivity for levels 1<-3 (g2p50103<-2sp60001) Wavelength 93.9230 (A)
  n_e	                        T_e  (eV)
93.923          200       400       600       800      1000      1200	1500      1800
1.0e12	     1.63e+02  1.86e+02  1.94e+02  1.95e+02  1.94e+02  1.92e+02	1.88e+02  1.84e+02
3.0e12	     4.90e+02  5.60e+02  5.81e+02  5.86e+02  5.83e+02  5.77e+02	5.65e+02  5.52e+02
6.0e12	     9.82e+02  1.12e+03  1.16e+03  1.17e+03  1.17e+03  1.16e+03	1.13e+03  1.10e+03
1.0e13	     1.64e+03  1.87e+03  1.94e+03  1.96e+03  1.95e+03  1.93e+03	1.89e+03  1.84e+03
3.0e13	     4.94e+03  5.62e+03  5.84e+03  5.88e+03  5.86e+03  5.80e+03	5.68e+03  5.55e+03
6.0e13	     9.91e+03  1.13e+04  1.17e+04  1.18e+04  1.17e+04  1.16e+04	1.14e+04  1.11e+04
1.0e14	     1.66e+04  1.88e+04  1.95e+04  1.97e+04  1.96e+04  1.94e+04	1.90e+04  1.86e+04
3.0e14	     4.98e+04  5.66e+04  5.87e+04  5.92e+04  5.89e+04  5.83e+04	5.71e+04  5.58e+04
2)Emissivity for levels 2<-3 (g2p50001<-2sp60001) Wavelength 103.9370 (A)
  n_e	                        T_e  (eV)
103.937          200       400       600       800      1000      1200	1500      1800
1.0e12	     5.95e+01  6.80e+01  7.05e+01  7.11e+01  7.08e+01  7.00e+01	6.85e+01  6.70e+01
3.0e12	     1.79e+02  2.04e+02  2.12e+02  2.13e+02  2.12e+02  2.10e+02	2.06e+02  2.01e+02
6.0e12	     3.58e+02  4.08e+02  4.24e+02  4.27e+02  4.25e+02  4.21e+02	4.12e+02  4.03e+02
1.0e13	     5.97e+02  6.81e+02  7.07e+02  7.13e+02  7.09e+02  7.02e+02	6.87e+02  6.72e+02
3.0e13	     1.80e+03  2.05e+03  2.13e+03  2.14e+03  2.13e+03  2.11e+03	2.07e+03  2.02e+03
6.0e13	     3.61e+03  4.11e+03  4.26e+03  4.30e+03  4.28e+03  4.23e+03	4.15e+03  4.05e+03
1.0e14	     6.03e+03  6.86e+03  7.11e+03  7.17e+03  7.14e+03  7.07e+03	6.92e+03  6.77e+03
3.0e14	     1.82e+04  2.06e+04  2.14e+04  2.16e+04  2.15e+04  2.12e+04	2.08e+04  2.04e+04
%*****************************
%*********PECsfexix.
1) Emissivity for levels 1<-9 (g2p40204<-2sp50002) Wavelength 78.8892 (A)
  n_e	                       T_e  (eV) 
78.89        200       400       600       800      1200      1500      
1800      2000
1.0e12	    1.51e+00  1.75e+00  1.79e+00  1.78e+00  1.72e+00  1.69e+00  
1.64e+00  1.58e+00
3.0e12	    5.07e+00  5.83e+00  5.97e+00  5.96e+00  5.76e+00  5.68e+00  
5.50e+00  5.29e+00
6.0e12	    1.17e+01  1.33e+01  1.36e+01  1.36e+01  1.32e+01  1.30e+01  
1.26e+01  1.21e+01
1.0e13	    2.26e+01  2.54e+01  2.60e+01  2.61e+01  2.53e+01  2.50e+01  
2.43e+01  2.32e+01
3.0e13	    1.03e+02  1.13e+02  1.15e+02  1.16e+02  1.12e+02  1.11e+02  
1.08e+02  1.03e+02
6.0e13	    2.72e+02  2.96e+02  2.98e+02  2.97e+02  2.87e+02  2.86e+02  
2.77e+02  2.64e+02
1.0e14	    5.42e+02  5.84e+02  5.84e+02  5.80e+02  5.58e+02  5.55e+02  
5.38e+02  5.12e+02
3.0e14	    2.14e+03  2.28e+03  2.24e+03  2.20e+03  2.10e+03  2.08e+03  
2.02e+03  1.93e+03
2)Emissivity for levels 4<-9 (g2p40104<-2sp50002) Wavelength 91.0127 (A)
  n_e	                        T_e  (eV)
91.0127          200       400       600       800      1200      1500
1800      2000
1.0e12	     1.81e+01  2.10e+01  2.15e+01  2.14e+01  2.06e+01  2.03e+01
1.97e+01  1.90e+01
3.0e12	     6.08e+01  6.99e+01  7.16e+01  7.15e+01  6.91e+01  6.81e+01
6.60e+01  6.34e+01
6.0e12	     1.40e+02  1.59e+02  1.63e+02  1.63e+02  1.58e+02  1.56e+02
1.51e+02  1.45e+02
1.0e13	     2.71e+02  3.05e+02  3.12e+02  3.13e+02  3.03e+02  3.00e+02
2.91e+02  2.78e+02
3.0e13	     1.24e+03  1.36e+03  1.38e+03  1.39e+03  1.34e+03  1.34e+03
1.30e+03  1.23e+03
6.0e13	     3.27e+03  3.54e+03  3.58e+03  3.56e+03  3.44e+03  3.43e+03
3.32e+03  3.16e+03
1.0e14	     6.51e+03  7.00e+03  7.01e+03  6.96e+03  6.69e+03  6.66e+03
6.46e+03  6.15e+03
3.0e14	     2.57e+04  2.73e+04  2.69e+04  2.64e+04  2.52e+04  2.50e+04
2.42e+04  2.31e+04
3)Emissivity for levels 1<-7 (g2p40204<-2sp50102) Wavelength 101.5500 (A)
  n_e	                       T_e  (eV) 
101.55        200       400       600       800      1200      1500      
1800      2000
1.0e12	    8.23e+01  8.73e+01  8.65e+01  8.47e+01  8.08e+01  7.93e+01  
7.68e+01  7.39e+01
3.0e12	    2.45e+02  2.60e+02  2.57e+02  2.52e+02  2.40e+02  2.36e+02  
2.29e+02  2.20e+02
6.0e12	    4.83e+02  5.13e+02  5.09e+02  4.98e+02  4.75e+02  4.67e+02  
4.52e+02  4.35e+02
